RUNTIME,OILPRESSURE,CASINGPRESSURE,BACKPRESSURE,PUMPINLETPRESSURE,PUMPOUTPRESSURE,PUMPINLETTEMPERTURE,MOTORTEMPERTURE,CURRENTS,VOLTAGE,FREQUENCY_POWER,CREEPAGE,ChokeDiameter,VIB,MOTORPOWER,OIL(bbl),GAS(103Mscf),WATER(bbl),LIQUID(bbl),GOR(Mscf/bbl),RUL
1,293.47948845070414,272.3185269014085,281.43691408450707,655.9169194366197,1875.0052873239435,64.77570770422534,84.20464718309859,35.49864814084507,1400.9894366197184,40.728173126760566,0.22293337056338042,2176.0,0.673597019577465,56.02516329577467,462.9838513306358,99964.5074130148,612.8348153241319,1075.8186666547697,214.59673026995358,1039
2,285.45553472222224,263.95942124999993,273.0922706944444,647.0422687499997,1865.9039750000002,64.78393816666666,84.22411330555558,35.49211030555555,1401.6666666666667,40.730560000000004,0.22263155722222225,2176.0,0.6759605063888887,56.109420777777814,462.98385133063584,99964.5074130148,612.8348153241319,1075.8186666547697,214.59673026995358,1038
3,291.29729486111114,268.8924015277778,279.8182809722222,651.0594994444446,1871.1554708333335,64.7933847222222,84.25010402777777,35.40020483333332,1400.826388888889,40.73333844444445,0.22389982041666676,2176.0,0.6539656937499997,55.83299394444446,462.98385133063584,99964.5074130148,612.8348153241319,1075.8186666547697,214.59673026995358,1037
4,289.3964186111111,267.94577694444456,277.30860222222213,650.0679447222224,1869.933169444444,64.79350952777776,84.21293406944447,35.566732208333335,1401.3993055555557,40.72500388888887,0.22203561152777787,2176.0,0.6544513901388888,55.95796620833337,462.98385133063584,99964.5074130148,612.8348153241319,1075.8186666547697,214.59673026995358,1036
5,289.6805187499999,268.8204983333333,278.03781861111105,649.7555741666667,1869.2614847222228,64.79914681944442,84.22555269444439,35.418981972222234,1400.423611111111,40.719447875000014,0.22273996833333345,2176.0,0.6565401638888889,55.776681166666684,462.98385133063584,99964.5074130148,612.8348153241319,1075.8186666547697,214.59673026995358,1035
6,289.0005047222222,268.7943233333333,276.9035533333334,649.7971526388887,1868.9845875,64.79956908333332,84.20844066666669,35.447102861111105,1401.2534722222222,40.74306105555557,0.22222748277777787,2176.0,0.6626369505555556,55.847395986111145,462.98385133063584,99964.5074130148,612.8348153241319,1075.8186666547697,214.59673026995358,1034
7,287.3170756944442,266.5899333333334,275.3950006944445,647.5881255555555,1866.7607888888897,64.79895904166665,84.22715422222224,35.43485684722222,1401.1284722222222,40.73194912500001,0.22201802694444445,2176.0,0.6715798620833335,55.855328513888914,462.98385133063584,99964.5074130148,612.8348153241319,1075.8186666547697,214.59673026995358,1033
8,289.40747805555566,268.8830377777778,277.7311163888889,649.2126376388889,1869.0499819444444,64.80318277777775,84.19863236111108,35.50092069444444,1401.2569444444443,40.73889406944445,0.22291940944444447,2176.0,0.6702994784722223,55.817415000000025,462.98385133063584,99964.5074130148,612.8348153241319,1075.8186666547697,214.59673026995358,1032
9,290.2708019444445,268.2972284722221,278.75767805555574,648.4720777777777,1869.5065666666665,64.8203703333333,84.1696046944444,35.50624105555555,1400.9583333333333,40.737505236111105,0.22214702083333343,2176.0,0.6646611041666663,55.727113041666684,462.98385133063584,99964.5074130148,612.8348153241319,1075.8186666547697,214.59673026995358,1031
10,290.1179293055556,268.4721486111111,278.726491388889,648.2755777777779,1868.5898097222225,64.85998966666666,84.07735565277777,35.45653345833335,1400.4166666666667,40.73889406944445,0.22205344902777782,2176.0,0.6738618934722223,55.71144966666669,462.98385133063584,99964.5074130148,612.8348153241319,1075.8186666547697,214.59673026995358,1030
11,292.25659930555554,271.33588791666665,280.9142654166667,651.0617601388889,1871.406716666667,64.87276276388891,84.14365445833333,35.420895,1400.4166666666667,40.72778194444444,0.22336031750000007,2176.0,0.6765712405555556,55.66020127777782,462.98385133063584,99964.5074130148,612.8348153241319,1075.8186666547697,214.59673026995358,1029
12,293.80182416666673,271.87179111111107,281.81212402777777,651.8683270833334,1873.0815361111106,64.84617231944443,84.17235424999998,35.39841047222221,1400.2743055555557,40.72917116666666,0.22252809527777787,2176.0,0.6755399270833333,55.638892944444464,462.98385133063584,99964.5074130148,612.8348153241319,1075.8186666547697,214.59673026995358,1028
13,292.95690708333336,271.52988625,280.86203,651.1657045833334,1872.4497569444445,64.86980838888888,84.19935149999993,35.48803069444445,1401.107638888889,40.730560194444415,0.22178194541666674,2176.0,0.6884171868055555,55.798999458333356,462.98385133063584,99964.5074130148,612.8348153241319,1075.8186666547697,214.59673026995358,1027
14,293.343958611111,271.49518138888885,282.25107513888884,650.6872702777778,1872.1481583333334,64.866672,84.20197974999998,35.399704250000006,1400.013888888889,40.740283097222225,0.22282616583333337,2176.0,0.7078635876388889,55.71436072222223,462.98385133063584,99964.5074130148,612.8348153241319,1075.8186666547697,214.59673026995358,1026
15,299.88372902777786,277.3588375,288.42583250000007,657.4451270833334,1879.594694444445,64.88411641666666,84.2232475138889,35.43410841666667,1400.548611111111,40.741672125,0.2210242630555556,2176.0,0.6926935755555554,55.73232220833336,462.98385133063584,99964.5074130148,612.8348153241319,1075.8186666547697,214.59673026995358,1025
16,298.4118801388888,275.1044075,281.96427013888876,607.4005877777777,1881.0065513888887,64.8707904027778,84.82230123611113,37.09957381944443,1454.9930555555557,41.77778095833338,0.23061489847222244,2176.0,0.6326020290277778,61.10704761111109,462.98385133063584,99964.5074130148,612.8348153241319,1075.8186666547697,214.59673026995358,1024
