RUNTIME,OILPRESSURE,CASINGPRESSURE,BACKPRESSURE,PUMPINLETPRESSURE,PUMPOUTPRESSURE,PUMPINLETTEMPERTURE,MOTORTEMPERTURE,CURRENTS,VOLTAGE,FREQUENCY_POWER,CREEPAGE,ChokeDiameter,VIB,MOTORPOWER,OIL(bbl),GAS(103Mscf),WATER(bbl),LIQUID(bbl),GOR(Mscf/bbl),RUL
1,325.28131736124993,13.455798738055556,260.6561294444444,1110.547575875,1886.861998013889,53.04075969444446,65.90441569444447,30.322916666666668,1129.375,33.718518361111094,0.9870202106944451,1941.3333333333333,0.9601597298611115,45.577179083333334,250.9812550000001,149952.0,1349.8192589999999,1600.8005140000014,597.4629459877395,671
2,320.48339680555557,222.6374314444444,273.8400527777778,848.0116495833333,1897.070805555556,56.423106805555555,79.41473386111112,41.66319444444444,1573.888888888889,44.60089434722224,0.9894234568055569,2574.222222222222,0.8312652763888887,82.85133598611115,1045.533213000001,184379.0,559.8460160000002,1605.3792289999988,176.34925194863217,670
3,310.2560286111111,297.60377277777786,276.1049212500001,622.6258002777777,1831.6178,58.40073104166667,90.59924405555559,43.625,1707.4652777777778,48.00986084722225,0.9900000100000013,2901.3333333333335,0.5388888904166665,94.84730801388885,1431.4895609999985,207375.0,102.08079100000012,1533.5703519999986,144.8665820902899,669
4,310.6934597222223,306.9654193055556,283.36272402777774,599.094904861111,1820.507593055556,59.2087355555555,91.45418093055554,42.822916666666664,1700.2777777777778,48.056249305555575,0.9900000100000013,2944.0,0.4872192290277778,92.68045511111103,1409.1311620000013,230371.0,100.48639399999982,1509.6175559999983,163.48442658313746,668
5,300.3325095833332,299.30710458333346,273.2706243055556,588.8814422222222,1812.695526388889,59.62752023611116,89.08471631383398,42.75,1699.7222222222222,48.05520352777778,0.9900000100000013,2944.0,0.44109812847222224,92.47414195833326,1419.2781870000024,230679.0,74.71522599999999,1493.9934130000004,162.53261842035187,667
6,299.88517388888874,301.2261736111111,273.83879458333325,585.7266351388889,1811.8065569444443,59.965200180555534,91.84814611111112,42.645833333333336,1697.1875,48.06182663888891,0.9900000100000013,2944.0,0.49863538625000026,92.10327013888885,1421.6714219999997,230987.00000000003,57.6066219999999,1479.2780440000017,162.47565817637968,666
7,294.9153997222222,300.43580333333335,268.55762166666676,581.7606368055555,1807.9512444444445,60.208753638888865,92.07035558333331,42.666666666666664,1697.9166666666667,48.06358991666669,0.9900000100000013,2944.0,0.48473610916666665,92.36650369444442,1420.155461999999,231295.0,44.86538699999996,1465.0208489999977,162.86597220438674,665
8,297.2331311111111,305.63499250000007,271.4425181944445,583.9204237500002,1807.627066666666,60.37154308333331,92.24508733333334,42.677083333333336,1697.8472222222222,48.05601743055558,0.9900000100000013,2944.0,0.46489722291666663,92.41021344444438,1178.2157529999981,231603.0,300.7265020000001,1478.9422550000013,196.57095859589975,664
9,295.95683152777775,307.02893916666676,270.7134874999999,581.727317777778,1804.8552013888893,60.50770312499995,92.60482611111108,42.66319444444444,1697.2916666666667,48.0651027638889,0.9900000100000013,2944.0,0.5115138866666665,92.38259511111103,1194.3341335024409,227010.92899901082,298.13512576095314,1492.4692592633944,190.07321538512053,663
10,294.0023541666667,310.2249819444445,268.71671916666673,581.918147638889,1801.3082166666663,60.62385508333338,92.76259690277777,42.78472222222222,1699.1319444444443,48.06164277777779,0.9900000100000013,2944.0,0.5082152813888892,92.71590237499997,1187.0284334063717,230675.79736161194,297.0601897092516,1484.0886231156219,194.33047336503117,662
